"index","source_file","source_line","setup_title","V1","Abs_Id"
"72","20 0 DS.csv","713","Nega Sweep(4)(1)","-14.200000000000001","5.4703799999999994E-08"
"73","20 0 DS.csv","714","Nega Sweep(4)(1)","-14.4","5.6868E-08"
"74","20 0 DS.csv","715","Nega Sweep(4)(1)","-14.6","5.9536999999999992E-08"
"75","20 0 DS.csv","716","Nega Sweep(4)(1)","-14.8","6.18592E-08"
"76","20 0 DS.csv","717","Nega Sweep(4)(1)","-15","6.45212E-08"
"77","20 0 DS.csv","718","Nega Sweep(4)(1)","-15.200000000000001","6.7035199999999989E-08"
"78","20 0 DS.csv","719","Nega Sweep(4)(1)","-15.4","7.03154E-08"
"79","20 0 DS.csv","720","Nega Sweep(4)(1)","-15.6","7.3354799999999987E-08"
"80","20 0 DS.csv","721","Nega Sweep(4)(1)","-15.8","7.718409999999999E-08"
"81","20 0 DS.csv","722","Nega Sweep(4)(1)","-16","7.9971599999999988E-08"
"82","20 0 DS.csv","723","Nega Sweep(4)(1)","-16.2","8.4051999999999991E-08"
"83","20 0 DS.csv","724","Nega Sweep(4)(1)","-16.4","8.64507E-08"
"84","20 0 DS.csv","725","Nega Sweep(4)(1)","-16.6","8.9893599999999989E-08"
"85","20 0 DS.csv","726","Nega Sweep(4)(1)","-16.8","9.415949999999999E-08"
"86","20 0 DS.csv","727","Nega Sweep(4)(1)","-17","9.8099799999999987E-08"
"87","20 0 DS.csv","728","Nega Sweep(4)(1)","-17.2","1.0342299999999999E-07"
"88","20 0 DS.csv","729","Nega Sweep(4)(1)","-17.400000000000002","1.04764E-07"
"89","20 0 DS.csv","730","Nega Sweep(4)(1)","-17.6","1.09745E-07"
"90","20 0 DS.csv","731","Nega Sweep(4)(1)","-17.8","1.14288E-07"
"91","20 0 DS.csv","732","Nega Sweep(4)(1)","-18","1.19231E-07"
"92","20 0 DS.csv","733","Nega Sweep(4)(1)","-18.2","1.24155E-07"
"93","20 0 DS.csv","734","Nega Sweep(4)(1)","-18.400000000000002","1.28878E-07"
"94","20 0 DS.csv","735","Nega Sweep(4)(1)","-18.6","1.33254E-07"
"95","20 0 DS.csv","736","Nega Sweep(4)(1)","-18.8","1.39261E-07"
"96","20 0 DS.csv","737","Nega Sweep(4)(1)","-19","1.45474E-07"
"97","20 0 DS.csv","738","Nega Sweep(4)(1)","-19.2","1.52182E-07"
"98","20 0 DS.csv","739","Nega Sweep(4)(1)","-19.400000000000002","1.5745E-07"
"99","20 0 DS.csv","740","Nega Sweep(4)(1)","-19.6","1.64076E-07"
"100","20 0 DS.csv","741","Nega Sweep(4)(1)","-19.8","1.7030099999999998E-07"
"101","20 0 DS.csv","742","Nega Sweep(4)(1)","-20","1.7755E-07"
"102","20 0 DS.csv","743","Nega Sweep(4)(1)","-20","1.68664E-07"
"103","20 0 DS.csv","744","Nega Sweep(4)(1)","-19.8","1.43473E-07"
"104","20 0 DS.csv","745","Nega Sweep(4)(1)","-19.6","1.2930999999999999E-07"
"105","20 0 DS.csv","746","Nega Sweep(4)(1)","-19.400000000000002","1.1618499999999999E-07"
"106","20 0 DS.csv","747","Nega Sweep(4)(1)","-19.2","1.0442099999999999E-07"
"107","20 0 DS.csv","748","Nega Sweep(4)(1)","-19","9.2694E-08"
"108","20 0 DS.csv","749","Nega Sweep(4)(1)","-18.8","8.414059999999999E-08"
"109","20 0 DS.csv","750","Nega Sweep(4)(1)","-18.6","7.51557E-08"
"110","20 0 DS.csv","751","Nega Sweep(4)(1)","-18.400000000000002","6.7798599999999989E-08"
"111","20 0 DS.csv","752","Nega Sweep(4)(1)","-18.2","6.10985E-08"
"112","20 0 DS.csv","753","Nega Sweep(4)(1)","-18","5.4753899999999996E-08"
"113","20 0 DS.csv","754","Nega Sweep(4)(1)","-17.8","4.9124399999999992E-08"
"114","20 0 DS.csv","755","Nega Sweep(4)(1)","-17.6","4.4566099999999996E-08"
"115","20 0 DS.csv","756","Nega Sweep(4)(1)","-17.400000000000002","3.9893199999999996E-08"
"116","20 0 DS.csv","757","Nega Sweep(4)(1)","-17.2","3.58468E-08"
"117","20 0 DS.csv","758","Nega Sweep(4)(1)","-17","3.2235799999999994E-08"
"118","20 0 DS.csv","759","Nega Sweep(4)(1)","-16.8","2.9025099999999996E-08"
"119","20 0 DS.csv","760","Nega Sweep(4)(1)","-16.6","2.59707E-08"
"120","20 0 DS.csv","761","Nega Sweep(4)(1)","-16.4","2.34598E-08"
"121","20 0 DS.csv","762","Nega Sweep(4)(1)","-16.2","2.1081599999999998E-08"
"122","20 0 DS.csv","763","Nega Sweep(4)(1)","-16","1.89873E-08"
"123","20 0 DS.csv","764","Nega Sweep(4)(1)","-15.8","1.70406E-08"
"124","20 0 DS.csv","765","Nega Sweep(4)(1)","-15.6","1.51853E-08"
"125","20 0 DS.csv","766","Nega Sweep(4)(1)","-15.4","1.3649099999999999E-08"
"126","20 0 DS.csv","767","Nega Sweep(4)(1)","-15.200000000000001","1.2285799999999999E-08"
"127","20 0 DS.csv","768","Nega Sweep(4)(1)","-15","1.1073299999999999E-08"
"128","20 0 DS.csv","769","Nega Sweep(4)(1)","-14.8","1.009876E-08"
"129","20 0 DS.csv","770","Nega Sweep(4)(1)","-14.6","8.99185E-09"
"130","20 0 DS.csv","771","Nega Sweep(4)(1)","-14.4","8.1014E-09"
"131","20 0 DS.csv","772","Nega Sweep(4)(1)","-14.200000000000001","7.21827E-09"
"132","20 0 DS.csv","773","Nega Sweep(4)(1)","-14","6.52696E-09"
"133","20 0 DS.csv","774","Nega Sweep(4)(1)","-13.8","5.82722E-09"
"134","20 0 DS.csv","775","Nega Sweep(4)(1)","-13.6","5.27257E-09"
"135","20 0 DS.csv","776","Nega Sweep(4)(1)","-13.4","4.72241E-09"
