sigma
3.397287201
3.078791526
2.972626301
2.972626301
2.866461076
2.760295851
2.654130626
2.760295851
2.760295851
2.654130626
2.654130626
2.654130626
2.654130626
2.547965401
2.547965401
2.547965401
2.547965401
2.547965401
2.547965401
2.441800176
2.547965401
