N,mse,mae,r2
1,26937.08243964784,128.46402487538577,0.1308365901009364
2,22413.246041912542,118.69590420752623,0.27680462795695115
3,10087.805853176415,80.30415727392223,0.6745025466885279
4,11070.024578734981,87.39560350010106,0.6428098576719681
5,7038.304100296802,69.60343121382637,0.7728990730370833
6,6951.81827010586,67.77650309058752,0.7756896617819902
7,7305.228092667359,70.7279925012271,0.7642863894655622
8,5626.38183410358,59.729200958676344,0.8184567600711716
9,3710.646096486942,49.72169896974104,0.8802707078104259
10,4273.223577569465,54.209784483580385,0.8621183424647859
11,2466.682853149498,38.685418726593525,0.9204089572585873
12,2153.180293839051,36.63662089569944,0.9305245647700113
13,2175.0643455441564,35.27294380154752,0.929818444608519
14,1735.1892374698812,32.66696586025842,0.9440116427664913
15,2029.257631523667,36.04576289573811,0.934523106333788
16,1698.0990312158774,31.187823987988327,0.945208411206942
17,1887.0526269293318,32.75525452007034,0.9391115537640117
18,1472.865724615646,29.419087836354667,0.952475885300549
19,1493.2635872512758,29.290005513344916,0.9518177191504933
20,1693.0972860397485,31.101068665785053,0.945369799653611
21,1451.8500377801224,29.191925175438733,0.9531539864301818
22,1419.034390907704,28.49914437026345,0.9542128301114742
23,1404.360284766874,28.499855673208444,0.9546863110891992
24,1541.7915931942127,29.948817986463528,0.9502518937788902
25,1383.9415572776606,27.729865613329647,0.9553451504735344
26,1423.808273872827,28.849711059672117,0.9540587939642514
27,1367.9223771057636,28.522155968923173,0.9558620321845805
28,1456.8490948409974,29.16122440638493,0.9529926847193879
29,1282.549494590168,27.46324340116117,0.9586167100843277
30,1310.0304940711967,27.8342880181544,0.9577299964148024
31,1363.4101096462741,28.059873143767557,0.9560076269341327
32,1359.321638499113,28.084863073017463,0.9561395472908195
33,1311.5726003948084,27.89953651204835,0.9576802381533552
34,1293.5608389985762,27.589015884363693,0.9582614133414444
35,1261.3651295444893,27.221385048647807,0.959300253857151
36,1240.1122727679729,26.85867154397856,0.9599860076134221
37,1285.0222639389997,27.700979469318426,0.9585369226521164
38,1280.5599588639877,27.29136294385327,0.9586809052940264
39,1187.337922465654,26.125646735746688,0.9616888473462233
40,1307.1284799416069,27.31757492671571,0.9578236340424892
41,1293.6116176232465,27.354675049994853,0.9582597748966475
42,1219.302155560221,26.424666698533162,0.9606574757456229
43,1124.443240994262,25.58346554543995,0.9637182340080738
44,1150.6135647560193,26.124893666539947,0.9628738111612457
45,1215.5656281991705,26.760131526184214,0.9607780401337518
46,1230.8936156791385,26.532065556307113,0.9602834607413907
47,1210.4335890986986,26.63218071830379,0.9609436326998471
48,1178.7070122272648,26.098134672469023,0.9619673359832216
49,1186.184011557539,26.33064121032761,0.9617260799285515
50,1254.5621340631292,26.922408722960398,0.9595197622156881
51,1246.1608625066976,26.745872421818884,0.9597908412328696
52,1212.697671683849,26.25515337211674,0.9608705788439066
53,1151.9343631379795,25.87848982189956,0.9628311937163897
54,1170.960490871402,26.220034901812046,0.962217288550713
55,1184.8774087745726,26.176271504475245,0.9617682393321458
56,1146.0418541600575,25.813508173715487,0.9630213239284342
57,1198.5566218790152,26.511542105470706,0.9613268599981651
58,1125.6973688140981,25.44845476741342,0.9636777677840579
59,1133.7055913738661,25.63929674040641,0.9634193710537189
60,1151.394692485375,26.043765207182453,0.9628486069602215
61,1151.0852226106467,26.081331042769182,0.9628585924474093
62,1124.7225065353891,25.716748711548405,0.9637092231068176
63,1114.0142640494873,25.341227989604953,0.9640547398335799
64,1115.1532436364296,25.450540876889928,0.9640179890316395
65,1113.0142051071757,25.33732949211177,0.9640870081626518
66,1172.4523324195131,25.8400690044998,0.9621691521539859
67,1165.5605337500808,25.699478844456195,0.9623915258741274
68,1210.9917630127302,26.07219282477205,0.9609256224218771
69,1107.6714385808555,25.289192482767426,0.9642594001498952
70,1104.6848208438287,25.065450484367606,0.9643557676337233
71,1089.3422077356504,25.210543433673795,0.9648508189428524
72,1139.1030391446711,25.38352638718187,0.9632452146980802
73,1087.0983692748373,24.851913912154288,0.9649232195932285
74,1111.6934428621428,25.301124296347147,0.9641296244414983
75,1140.440857992386,25.567257571785298,0.9632020480636048
76,1093.3271420592425,25.18351599594807,0.9647222393495473
77,1133.8432065465292,25.305746437195708,0.9634149307037665
78,1095.4509225097559,24.96624813716671,0.9646537125422221
79,1093.4679643221975,24.941814538000067,0.9647176955182495
80,1122.216583679753,25.319147412614598,0.9637900802842432
