N,MSE_demand,MAE_demand,R2_demand,MSE_mean,MAE_mean,R2_mean
1,31788.854327671645,145.97082700959666,0.08736694709308546,31788.854327671645,145.97082700959666,0.08736694709308546
3,16921.8126960799,104.5930884215716,0.5141880414325227,16921.8126960799,104.5930884215716,0.5141880414325227
10,13871.082219625301,86.13426852965668,0.6017721185314993,13871.082219625301,86.13426852965668,0.6017721185314993
80,1552.1382658213627,28.286282715424974,0.9554393288456097,1552.1382658213627,28.286282715424974,0.9554393288456097
