N,mse,mae,r2
1,26937.082439647744,128.46402487538498,0.1308365901009394
2,22413.246041912564,118.69590420752588,0.2768046279569504
3,10087.805853176495,80.30415727392267,0.6745025466885254
4,11070.02457873432,87.39560350009792,0.6428098576719894
5,7038.304100296546,69.60343121382444,0.7728990730370916
6,6951.818270106423,67.77650309059196,0.775689661781972
7,7305.2280926670865,70.72799250122559,0.7642863894655709
8,5626.381834103628,59.729200958667626,0.8184567600711701
9,3710.646096489176,49.721698969762585,0.8802707078103539
10,4273.2235775683275,54.209784483572406,0.8621183424648227
11,2466.682853149268,38.685418726584594,0.9204089572585947
12,2153.180293838491,36.636620895685944,0.9305245647700294
13,2175.0643455431045,35.272943801525905,0.929818444608553
14,1735.18923747079,32.66696586028325,0.944011642766462
15,2029.2576315241258,36.04576289574511,0.9345231063337732
16,1698.0990312159925,31.187823987991173,0.9452084112069383
17,1887.0526269293368,32.75525452007125,0.9391115537640115
18,1472.8657246155499,29.419087836358482,0.9524758853005522
19,1493.2635872509982,29.290005513356117,0.9518177191505023
20,1693.0972860399747,31.1010686658014,0.9453697996536037
21,1451.85003778038,29.191925175443075,0.9531539864301735
22,1419.0343909079888,28.499144370263984,0.954212830111465
23,1404.3602847670281,28.499855673195682,0.9546863110891942
24,1541.7915931945968,29.9488179864776,0.9502518937788779
25,1383.941557279338,27.729865613331654,0.9553451504734803
26,1423.8082738735945,28.84971105970043,0.9540587939642267
27,1367.9223771075237,28.52215596893362,0.9558620321845237
28,1456.84909483488,29.16122440634547,0.9529926847195853
29,1282.549494592745,27.4632434011777,0.9586167100842445
30,1310.0304940694493,27.834288018141873,0.9577299964148588
31,1363.4101096458762,28.059873143808737,0.9560076269341455
32,1359.321638499385,28.084863072969668,0.9561395472908107
33,1311.572600393484,27.89953651205745,0.957680238153398
34,1293.560838996987,27.58901588434358,0.9582614133414957
35,1261.3651295414086,27.221385048557757,0.9593002538572504
36,1240.112272767086,26.858671543882483,0.9599860076134508
37,1285.0222639405233,27.700979469296826,0.9585369226520672
38,1280.5599588650396,27.291362943782314,0.9586809052939924
39,1187.3379224744651,26.12564673595217,0.961688847345939
40,1307.1284799352513,27.31757492663879,0.9578236340426942
41,1293.6116176223543,27.354675049984767,0.9582597748966762
42,1219.3021555530304,26.424666698306787,0.9606574757458549
43,1124.4432409922613,25.58346554550217,0.9637182340081384
44,1150.6135647449833,26.124893666391127,0.9628738111616018
45,1215.5656282077869,26.76013152646745,0.9607780401334737
46,1230.8936156742634,26.532065556194986,0.960283460741548
47,1210.4335890930984,26.632180718271886,0.9609436327000277
48,1178.7070122226476,26.09813467246579,0.9619673359833706
49,1186.1840115512516,26.330641210170047,0.9617260799287544
50,1254.5621340441203,26.92240872268483,0.9595197622163015
51,1246.1608625129975,26.74587242180799,0.9597908412326663
52,1212.6976716692034,26.255153371909525,0.9608705788443791
53,1151.9343631378551,25.878489821737165,0.9628311937163937
54,1170.9604908639465,26.22003490179059,0.9622172885509536
55,1184.8774087551378,26.176271504190126,0.9617682393327729
56,1146.0418541225217,25.813508172789987,0.9630213239296453
57,1198.5566218685517,26.511542105148646,0.9613268599985028
58,1125.6973688394717,25.448454767776834,0.9636777677832392
59,1133.7055913908284,25.639296740338526,0.9634193710531715
60,1151.3946924960967,26.043765207615944,0.9628486069598755
61,1151.0852225662047,26.08133104187033,0.9628585924488433
62,1124.722506526807,25.716748711360673,0.9637092231070945
63,1114.0142640378092,25.34122798981533,0.9640547398339567
64,1115.1532436364296,25.450540876889928,0.9640179890316395
65,1113.0142051118967,25.337329492491747,0.9640870081624995
66,1172.4523324174631,25.84006900527851,0.9621691521540521
67,1165.5605337211887,25.699478843600335,0.9623915258750596
68,1210.9917630398952,26.072192824508207,0.9609256224210005
69,1107.6714386167032,25.289192483494105,0.9642594001487386
70,1104.6848208485012,25.06545048480299,0.9643557676335726
71,1089.3422077967095,25.210543435332706,0.9648508189408823
72,1139.1030391490822,25.38352638726299,0.9632452146979379
73,1087.0983692872394,24.85191391222648,0.9649232195928283
74,1111.6934428566772,25.301124296748775,0.9641296244416746
75,1140.4408580245931,25.56725757225632,0.9632020480625656
76,1093.3271420486305,25.18351599542428,0.9647222393498897
77,1133.8432064867366,25.305746434853948,0.9634149307056958
78,1095.450922526228,24.966248137486946,0.9646537125416905
79,1093.4679642781728,24.941814536133414,0.96471769551967
80,1122.216583714647,25.319147412388418,0.9637900802831172
