Vd,n_points_raw,n_points_fit,gaussian_rmse,gaussian_mae,gaussian_r2,gaussian_aic,gaussian_bic,gaussian_b,gaussian_A,gaussian_mu,gaussian_sigma,rq_rmse,rq_mae,rq_r2,rq_aic,rq_bic,rq_b,rq_A,rq_mu,rq_ell,rq_alpha,winner_aic,winner_bic
20.0,121,83,4.342000063791569e-11,3.3478636923121044e-11,0.9049865858343185,-3952.776755506585,-3943.1013930753984,2.401e-11,4.4278400000000003e-10,16.5,2.6541306259000597,3.693449167435045e-11,2.9081673489630833e-11,0.9312505029112548,-3977.631294446725,-3965.537091407742,2.401e-11,4.4278400000000003e-10,16.5,2.6541306259000597,2.0,rq,rq
21.0,121,82,4.1717161593895803e-11,2.987286251001583e-11,0.9436236923617907,-3911.617797734702,-3901.990920745645,2.8864e-11,5.46839e-10,17.0,2.6541306259000597,3.3132518156122e-11,2.639420504300807e-11,0.9644388322093405,-3947.402966644,-3935.369370407679,2.8864e-11,5.46839e-10,17.0,2.6541306259000597,2.0,rq,rq
22.0,121,81,5.1762643776587013e-11,3.765340984188586e-11,0.9318415370818793,-3828.8650870892975,-3819.287290470608,3.3719e-11,6.181710000000001e-10,17.25,2.6541306259000597,4.196018639918558e-11,3.3621553326066637e-11,0.9552119962620953,-3860.8765821968,-3848.9043364234376,3.3719e-11,6.181710000000001e-10,17.25,2.6541306259000597,2.0,rq,rq
23.0,121,80,8.873844219083136e-11,6.917488447856399e-11,0.8713348562684391,-3695.252467982278,-3685.7243614435824,4.1176e-11,7.731959999999999e-10,17.0,2.547965400864057,7.357718680520594e-11,6.105496711669306e-11,0.9115447394247975,-3723.229776020419,-3711.3196428470496,4.1176e-11,7.731959999999999e-10,17.0,2.547965400864057,2.0,rq,rq
24.0,121,79,9.12321826701241e-11,6.686543043818683e-11,0.8979519360634229,-3644.58291734867,-3635.105125938802,4.9781e-11,8.969769999999999e-10,17.5,2.547965400864057,6.167261455967671e-11,5.202111940292932e-11,0.9533669995090572,-3704.4506188323753,-3692.60337957004,1.0703056893704764e-11,8.974461682329441e-10,18.19449485253691,2.4724453280965615,0.8983447437953109,rq,rq
25.0,121,78,1.248738564603788e-10,9.699619692406572e-11,0.8597027198415526,-3549.3798576902877,-3539.9530223835295,6.065e-11,1.05676e-09,17.5,2.547965400864057,7.172022102158647e-11,5.825411771503029e-11,0.9537204164850924,-3633.8867481329467,-3622.103203999499,1.8544498274264547e-12,1.0574032633391138e-09,18.366305876773925,2.485869884916899,0.8611740612640622,rq,rq
26.0,121,78,1.2437228492032134e-10,9.427169774460375e-11,0.8972007776680149,-3550.00771307401,-3540.580877767252,6.729e-11,1.23686e-09,18.0,2.547965400864057,7.965907578204693e-11,6.634128413206082e-11,0.9578290747476605,-3617.5093618829637,-3605.725817749516,-1.1772373639094031e-12,1.2373162594847754e-09,18.678286381318664,2.4842135141913886,0.8790043463419785,rq,rq
27.0,121,77,1.2576291748590883e-10,9.16185644363031e-11,0.9149055799448477,-3502.6798786564746,-3493.30465696906,7.5203e-11,1.372257e-09,18.5,2.547965400864057,9.161953652266113e-11,7.47586183710677e-11,0.9548381154390156,-3549.459994270874,-3537.7409671616056,1.1028894764078565e-11,1.3742134965977237e-09,18.980835646629707,2.4804716929610486,0.9008813063871185,rq,rq
28.0,121,76,1.7347029353448028e-10,1.2852398623457806e-10,0.8856184742932424,-3408.202242003449,-3398.879308642304,9.6965e-11,1.632305e-09,18.5,2.547965400864057,1.0768114841084328e-10,8.823420432098369e-11,0.9559257413802726,-3478.6806809283858,-3467.027014226954,1.3476414859243102e-11,1.6362555021587792e-09,19.20737716633835,2.483563404568045,0.8849086927671578,rq,rq
29.0,121,76,1.843368962512123e-10,1.330001320015858e-10,0.9000668212537892,-3398.9669233380905,-3389.6439899769452,1.04688e-10,1.833052e-09,19.0,2.441800175828055,1.1344257746081783e-10,9.767086028384406e-11,0.9621524883881435,-3470.7580985378577,-3459.104431836426,1.04688e-10,1.833052e-09,19.0,2.441800175828055,2.0,rq,rq
30.0,121,75,2.0103362213237052e-10,1.462079618561714e-10,0.9079384663410311,-3341.1323421351785,-3331.862389681033,1.21454e-10,2.101956e-09,19.25,2.547965400864057,1.0523511708146247e-10,9.062041109948663e-11,0.9747731986448017,-3436.223608814979,-3424.6361682472975,4.9216274491223294e-11,2.107816655443823e-09,19.667356274894615,2.456588515132562,1.2998524351998935,rq,rq
