N,mse_x,mse_v,r2_x,r2_v
1,2.025323675054415,0.17365858267350182,-3.6983782378230297,-0.7900002069354475
2,2.1902278442511895,0.1780565934597933,-4.080925565651801,-0.8353330669436807
3,2.25777118260968,0.13903727182897055,-4.2376136817105445,-0.43313818133316406
