N,mse,mae,r2,sigma_exp_min,sigma_exp_max,sigma_model_min,sigma_model_max
1,26937.08243964781,128.46402487538558,0.1308365901009373,9.320944158184835,9.320944158184835,9.320944158184835,9.320944158184835
2,22413.246041912476,118.69590420752868,0.27680462795695315,4.8,18.1,4.8,18.1
3,10087.805853176551,80.30415727392267,0.6745025466885235,4.8,18.1,4.8,18.1
